Timestamp,Age,Gender ,Have you heard about Artificial Intelligence (AI) being used in education? ,"Have you ever used any AI-based tool for your learning? (ChatGPT, Grammarly, Duolingo, recommendation systems in online courses) ","If yes, which AI tools have you used for learning purposes? (Multiple choice)",Do you believe AI can personalize your learning experience? ,Have you received personalized feedback or recommendations from an AI tool that helped improve your learning?,Do you think AI helps in improving student engagement and motivation?,What are the biggest challenges you see in using AI for personalized learning? (Multiple choice),Would you recommend the integration of AI tools in your university’s teaching and learning methods?,What features do you think would make AI easier to use?
8/2/2025 20:50:27,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/2/2025 20:51:05,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/2/2025 20:51:34,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/2/2025 20:52:16,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/2/2025 21:44:52,20+,Female,Yes,Yes,"ChatGPT, Grammarly, Deepseek",Strongly Agree,Yes,Yes,Privacy issues,Yes,Offline Mode Usage
8/2/2025 22:21:33,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/2/2025 22:21:58,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/2/2025 22:22:21,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/2/2025 22:22:47,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/2/2025 22:25:43,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/2/2025 22:27:29,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/2/2025 22:27:58,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/2/2025 22:29:10,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/2/2025 22:29:36,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/2/2025 22:30:04,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/2/2025 22:31:09,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/2/2025 22:31:41,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/2/2025 22:32:14,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/2/2025 22:32:45,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/2/2025 22:33:10,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 8:13:59,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 8:14:31,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 8:14:52,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 8:15:20,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 8:15:45,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 8:16:12,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 8:16:37,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 8:17:04,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 8:17:45,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 8:18:11,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 8:19:00,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 8:19:23,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 8:20:19,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 8:20:42,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 13:16:48,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 13:17:13,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 13:17:38,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 13:18:12,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 14:48:19,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 14:48:41,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 14:49:18,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 14:49:39,20+,Male,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 15:22:25,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 15:22:51,20+,Female,Yes,Yes,"ChatGPT, Gemini",Strongly Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 15:23:21,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 15:23:44,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 15:24:23,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 15:24:47,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 15:30:54,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 15:31:22,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 15:32:20,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 15:32:44,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 15:33:24,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 15:33:51,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 16:23:28,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 16:23:51,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/3/2025 16:25:20,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/3/2025 16:25:52,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/4/2025 20:03:37,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/4/2025 20:03:58,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/4/2025 20:04:25,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/4/2025 20:06:11,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/4/2025 20:06:36,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/4/2025 22:26:50,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/4/2025 22:27:14,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/4/2025 22:27:42,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/4/2025 22:28:05,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/4/2025 22:28:55,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/4/2025 22:29:16,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/4/2025 22:30:01,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing, Routine and Reminder Automation"
8/4/2025 22:30:28,20+,Female,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/5/2025 13:05:53,20+,Male,Yes,Yes,"ChatGPT, Grammarly",Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
8/5/2025 13:06:23,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Deepseek",Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice)"
8/5/2025 13:06:52,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
8/5/2025 13:07:16,20+,Male,Yes,Yes,"ChatGPT, Grammarly",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice)"
8/5/2025 13:07:57,20+,Male,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
8/5/2025 13:08:22,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
8/5/2025 13:09:00,20+,Male,Yes,Yes,ChatGPT,Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
8/5/2025 13:09:36,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice)"
8/5/2025 13:09:58,20+,Male,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
8/5/2025 13:10:31,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Gemini",Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
8/5/2025 13:10:57,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,"Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
8/6/2025 0:55:10,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
8/6/2025 0:55:29,20+,Male,Yes,Yes,"ChatGPT, Duolingo, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
8/6/2025 0:55:53,20+,Male,Yes,Yes,"ChatGPT, Duolingo, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,Offline Mode Usage
8/6/2025 0:58:31,20+,Male,Yes,Yes,"ChatGPT, Duolingo, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
8/6/2025 0:58:57,20+,Male,Yes,Yes,"ChatGPT, Duolingo, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
8/6/2025 0:59:03,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs"
8/6/2025 0:59:22,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Gemini",Strongly Agree,Yes,Yes,Lack of human interaction,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/6/2025 0:59:34,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
8/6/2025 0:59:51,20+,Male,Yes,Yes,"ChatGPT, Duolingo, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice)"
8/6/2025 0:59:58,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek, Other",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs"
8/6/2025 1:00:12,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Gemini",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice), Routine and Reminder Automation"
8/6/2025 1:00:17,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Strongly Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Remembering Previous Data"
8/6/2025 1:00:28,20+,Male,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,Offline Mode Usage
8/6/2025 1:00:41,20+,Female,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Strongly Agree,Yes,Yes,Privacy issues,Yes,"Offline Mode Usage, Remembering Previous Data, Analyzing Data to Predict Trends or Opportunities, Estimating Prices or Costs"
8/6/2025 1:00:50,20+,Male,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Emotion Sensing"
8/6/2025 1:01:03,20+,Female,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini, Deepseek",Strongly Agree,Yes,Yes,Lack of awareness,Yes,Offline Mode Usage
8/6/2025 1:01:06,20+,Male,Yes,Yes,"ChatGPT, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,"Offline Mode Usage, Multimodal Input (Image, Video, Text, Voice), Emotion Sensing"
8/6/2025 1:01:30,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Gemini",Agree,Yes,Yes,Lack of awareness,Yes,Offline Mode Usage
8/6/2025 1:13:32,20+,Male,Yes,Yes,"ChatGPT, Grammarly, Duolingo, Gemini",Disagree,Yes,Yes,Lack of awareness,Yes,Offline Mode Usage
